id,slug,published,name,quantity,dimensions,weight,artisan,code,description,images,category,material,colour,mrp,gst,courier,total,sku,barcode
1,toran,true,Toran,4,13x85,148,Vijay,MAL7,"To bring positivity, prosperity, and peace into the home, macrame toran are placed on the main entrance, pooja room, or temple entrances. The door is made prettier with ",toran,Macrame,Cotton,Multi,552,27.6,,579.6,,
2,pen-stand,true,Pen stand,1,6x 10,53,Vijay,MPS2,"A must-have item is our handcrafted macrame pen stand. It has a very straightforward, minimalistic appearance while also giving off a sophisticated vibe. You can use it to store your stationery.",pen-stand,Macrame,Cotton,"Single, Multi",300,15,,315,,
3,wall-hanging-01,true,Wall hanging 01,1,45x 38,200,Vijay,MWHSON1,"Handwoven Tapestry with Macrame Accents Modern Farmhouse, Bedroom, Nursery, Wedding, and Party Wall Decor with Macrame",wall-hanging-01,Macrame,Cotton,Multi,800,40,,840,,
4,basket,true,Basket,1,19x 10,230,Vijay,MBB,Your home decor is made more interesting by a beautiful handcrafted Macrame Storage Basket. Its multicolor tone will match colour schemes for house furnishings. rope-made and handmade ,basket,Macrame,Cotton,Multi,700,35,,735,,
5,bag-wood-handle,true,Bag (wood handle),1,25x 38,240,Vijay,MFHB1,"Obtain this chic, modern, and handcrafted totally knitted macrame bag for yourself right now.",bag-wood-handle,Macrame,Cotton,Multi and single,700,35,,735,,
6,hot-mat-round-coasters,true,Hot Mat ( Round Coasters),1,13x13,85,Vijay,MRTC2,Round Drink Coasters Made of Royal Macrame Mugs & Cups Cotton Unique Woven Coaster with Tassel,hot-mat-round-coasters,Macrame,Cotton,"Single, Multi",200,10,,210,,
7,yoga-mat-holder-01-yoga-mat-belt,true,Yoga mat holder 01 (Yoga Mat Belt),1,160x 2,84,Vijay,MYMB,linen yoga mat belt Exercise And Yoga Mat Carry Random Colour Adjustable ,yoga-mat-holder-01-yoga-mat-belt,Macrame,Cotton,"Single, Multi",300,15,,315,,
8,yoga-mat-holder-02-yoga-mat-net,true,Yoga mat holder 02 ( Yoga Mat Net),1,88x21,132,Vijay,MYMN,Yoga Mat net Cover for Men & Women with Shoulder Strap and Drawstring,yoga-mat-holder-02-yoga-mat-net,Macrame,Cotton,"Single, Multi",600,30,,630,,
9,key-chain,true,Key chain,1,16x 1.5,6,Vijay,MKE,High-Quality Keychain to Protect Your Keys,key-chain,Macrame,Cotton,"Single, Multi",50,2.5,,52.5,,
10,purse-hand-purse,true,Purse ( Hand Purse),1,20x11,160,Vijay,MHP,Handbag made of stylish hand knitting for women.,purse-hand-purse,Macrame,Cotton,"Single, Multi",450,22.5,,472.5,,
11,kitchen-roll-holder-napkin-and-paper-holder,true,Kitchen roll holder (Napkin And Paper Holder),1,29x30,58,Vijay,MNPH,"Staylish Towel hanging, tissue paper holder, napkin and roll holder and bangle holder.",kitchen-roll-holder-napkin-and-paper-holder,Macrame,Cotton,Single,450,22.5,,472.5,,
12,cloth-bag-01-Small-purse,true,Cloth bag 01 (Small Purse),1,23x33,135,Pandit,TSP2,Small Cotton Fabric Shoulder Bag with Exotic Small Purse for Women.,cloth-bag-01-Small-purse,Stitching,Cotton,"Multi Colour, Printed",300,15,,315,,
13,cloth-bag-02-bow-purse,true,Cloth bag 02 ( Bow Purse),1,36x 28,190,Pandit,TBP,"A brand-new, hip, and trendy bow bag for women of a large size.",cloth-bag-02-bow-purse,Stitching,Cotton,"Multi Colour, Printed",450,22.5,,472.5,,
14,cloth-bag-03-tri-colour-hand-purse,true,Cloth bag 03 ( Tri Colour Hand Purse),1,24x 16,35,Pandit,TTCHP,Women would adore this design's comfort and attractiveness. Cotton and synthetic cloth were used to make it.,cloth-bag-03-tri-colour-hand-purse,Stitching,Cotton,Multi Colour,150,7.5,,157.5,,
